"all_quant[, 1]","prot_descr[all_quant[, 1], 2]","SIN_12500amol_1","SIN_12500amol_2","SIN_12500amol_3","SIN_125amol_1","SIN_125amol_2","SIN_125amol_3","SIN_25000amol_1","SIN_25000amol_2","SIN_25000amol_3","SIN_2500amol_1","SIN_2500amol_2","SIN_2500amol_3","SIN_250amol_1","SIN_250amol_2","SIN_250amol_3","SIN_50000amol_1","SIN_50000amol_2","SIN_50000amol_3","SIN_5000amol_1","SIN_5000amol_2","SIN_5000amol_3","SIN_500amol_1","SIN_500amol_2","SIN_500amol_3","SIN_50amol_1","SIN_50amol_2","SIN_50amol_3"
"sp|P47988|TEA1_YEAST","60S ribosomal protein L18-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL18A PE=1 SV=1",NA,-27.2525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.3472,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.3659,NA,-25.6717
"sp|P48231|TCB2_YEAST","40S ribosomal protein S16-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPS16A PE=1 SV=1",NA,-26.1783,NA,NA,NA,NA,-26.2413,-25.2088,NA,NA,-25.7915,NA,-25.9924,NA,NA,NA,-25.9616,NA,NA,NA,NA,NA,NA,NA,NA,-24.551,NA
"sp|P48360|ADRO_YEAST","60S ribosomal protein L12-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL12A PE=1 SV=1",NA,-21.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P49956|CTF18_YEAST","40S ribosomal protein S18-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPS18A PE=1 SV=1",NA,-24.7668,NA,NA,NA,-25.2737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.8333,NA,NA,NA,NA
"sp|P50079|HSV2_YEAST","60S ribosomal protein L19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL19A PE=1 SV=1",NA,-24.3573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.7017,NA
"sp|P50085|PHB2_YEAST","60S ribosomal protein L35-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL35A PE=1 SV=1",NA,-21.8756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.5338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.3263,NA
"sp|P50094|IMDH4_YEAST","Single-stranded nucleic acid-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SBP1 PE=1 SV=2",NA,-23.7883,NA,-21.8011,-20.0792,-19.7966,-23.8919,NA,-21.3608,NA,NA,NA,-23.6537,-21.6203,-23.6586,NA,NA,NA,-23.8741,-23.9323,NA,NA,NA,NA,NA,-23.61,NA
"sp|P50095|IMDH3_YEAST","ATP-dependent RNA helicase eIF4A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TIF1 PE=1 SV=3",NA,-23.3412,NA,NA,NA,NA,NA,-22.8841,NA,-22.3758,NA,NA,NA,NA,NA,-20.8926,NA,-21.7372,-25.9742,-22.3283,NA,NA,NA,NA,-20.0974,-20.9966,NA
"sp|P50107|LGUL_YEAST","Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)",NA,-22.9734,-24.1786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.8874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P50264|FMS1_YEAST","S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SAM1 PE=1 SV=2",NA,-22.4828,NA,NA,NA,-21.9039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.3354,NA,NA,NA,NA,NA
"sp|P53066|YGZ2_YEAST","Aspartokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HOM3 PE=1 SV=2",NA,-27.129,-21.4902,NA,NA,NA,NA,NA,NA,NA,-21.293,NA,NA,-22.3529,NA,NA,NA,NA,NA,NA,-21.2918,NA,NA,NA,NA,NA,NA
"sp|P53122|YGN8_YEAST","Phosphoenolpyruvate carboxykinase (ATP) OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PCK1 PE=1 SV=2",NA,-21.7532,NA,NA,-21.4571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.7644,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P53159|MPS2_YEAST","Glucose-6-phosphate 1-dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ZWF1 PE=1 SV=4",NA,-23.2067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P53228|TAL2_YEAST","Ran GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RNA1 PE=1 SV=2",NA,-22.8816,-23.3723,NA,NA,-24.3765,NA,NA,-23.8314,NA,-23.8469,-22.6469,NA,NA,NA,NA,NA,NA,-24.538,NA,NA,NA,NA,NA,NA,NA,-23.4944
"sp|P53239|COX18_YEAST","Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)",NA,-25.4996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.2417,NA,-25.6527,NA,NA
"sp|P53297|PBP1_YEAST","Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PGI1 PE=1 SV=3",NA,-25.1038,-32.9898,-24.2217,-24.3465,NA,NA,NA,NA,-29.4833,-21.9565,-24.3792,-25.2715,-24.1098,-24.3582,-24.7425,NA,-24.4448,-24.0543,-31.7855,-31.6156,NA,NA,-22.1382,NA,NA,-23.5955
"sp|P53334|SCW4_YEAST","Aspartate-semialdehyde dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HOM2 PE=1 SV=1",NA,-24.2516,-23.2361,NA,NA,NA,-23.4116,NA,NA,NA,NA,NA,NA,NA,-24.3156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.9554
"sp|P53729|YN8H_YEAST","Dolichol-phosphate mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=DPM1 PE=1 SV=3",NA,-25.0137,-25.417,NA,-22.2269,NA,-23.0107,NA,NA,NA,-23.1801,-23.9221,NA,-23.4545,NA,NA,-23.0821,NA,NA,NA,-23.2037,NA,NA,NA,NA,-22.3086,NA
"sp|P53731|ARPC2_YEAST","60S ribosomal protein L30 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL30 PE=1 SV=3",NA,-21.6027,NA,-21.647,NA,NA,-21.1195,-22.3899,-22.6192,-23.5236,-21.7532,-21.0186,-21.9181,-22.1479,NA,-21.015,-20.9097,-21.2827,-21.9801,-23.7482,-22.662,NA,-21.7833,NA,-21.3303,-20.5221,-21.1641
"sp|P53734|DBP6_YEAST","60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL3 PE=1 SV=4",NA,-25.6693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.7192,NA,NA,NA,-22.8425,NA,NA,-22.4873,NA,-24.5181,NA,NA,NA
"sp|P53900|PFD4_YEAST","Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=FBA1 PE=1 SV=3",NA,-22.5185,NA,-22.6051,-21.517,NA,-21.3884,NA,NA,-21.432,-22.1354,-20.7534,-23.0103,-21.6301,NA,NA,NA,-23.6098,NA,NA,-22.9863,-23.1457,-23.4606,NA,NA,NA,NA
"sp|P53933|APP1_YEAST","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GFA1 PE=1 SV=4",NA,-24.4402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.2131,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P54862|HXT11_YEAST","Peptidyl-prolyl cis-trans isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=CPR1 PE=1 SV=3",NA,-22.0662,NA,NA,-21.831,-22.6811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.6873,-23.468,NA,NA,NA,NA,NA,NA,-21.4456,NA
"sp|Q00416|SEN1_YEAST","Vacuolar aminopeptidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=APE1 PE=1 SV=2",NA,-26.1318,-23.8899,NA,-24.4892,NA,NA,NA,-26.5716,NA,NA,NA,-26.4803,-24.8626,NA,NA,NA,NA,NA,NA,-26.4824,NA,NA,-24.148,NA,NA,NA
"sp|Q00816|REG1_YEAST","Transaldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TAL1 PE=1 SV=4",NA,-25.2586,NA,NA,NA,-25.7492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.9626,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q01919|KIN4_YEAST","ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HSC82 PE=1 SV=4",NA,-22.6317,NA,NA,NA,NA,NA,NA,NA,-23.5757,NA,NA,-23.4576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q01926|MRS2_YEAST","Lysine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=KRS1 PE=1 SV=2",NA,-23.0259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q02753|RL21A_YEAST","Guanylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GUK1 PE=1 SV=2",NA,-17.6445,NA,-15.9289,-16.1212,-16.4298,-17.7585,NA,-17.5357,NA,-19.0571,-18.3809,-18.3517,-17.3974,-18.222,-18.2688,-16.8929,-16.2003,-18.11,-18.3145,-19.243,-18.7915,-18.3797,-18.2105,-18.4319,-15.6369,-17.3626
"sp|Q02770|CWC27_YEAST","NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)",NA,-23.1095,-25.6494,-21.3886,-22.4321,NA,-24.0538,NA,NA,-22.9596,-22.9457,-23.095,-23.2036,NA,NA,NA,-22.9417,NA,-22.4701,-23.0941,NA,NA,-21.2459,NA,NA,NA,-22.5899
"sp|Q02825|SEN54_YEAST","Phenylalanine--tRNA ligase beta subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=FRS1 PE=1 SV=3",NA,-24.0774,-24.0443,NA,NA,NA,NA,NA,NA,-23.3093,-23.751,NA,-23.5929,NA,NA,NA,-24.1245,-24.2288,NA,-23.7892,NA,-23.9503,NA,NA,NA,-22.6829,NA
"sp|Q02959|HOS3_YEAST","Phenylalanine--tRNA ligase alpha subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=FRS2 PE=1 SV=3",NA,-26.4945,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.151,NA,NA,NA,NA,NA,NA,NA,NA,-26.1944,NA,NA,NA,NA,NA,NA
"sp|Q03063|DIG1_YEAST","Glucan 1,3-beta-glucosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=BGL2 PE=1 SV=1",NA,-24.3048,NA,NA,-25.5174,NA,NA,-23.7362,-23.8109,NA,NA,NA,-25.1197,-24.9237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q03655|GAS3_YEAST","Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=STI1 PE=1 SV=1",NA,-25.2313,-25.1968,-25.0162,-25.1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.2087,NA,NA,NA,NA,NA,NA,-24.9939,-25.0901,-25.134,-24.1795,-25.0314,NA
"sp|Q03730|YMB8_YEAST","Proliferating cell nuclear antigen OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=POL30 PE=1 SV=1",NA,-23.7602,-23.8984,NA,NA,NA,NA,-28.229,NA,NA,NA,NA,NA,-23.2558,NA,NA,-24.1004,NA,NA,NA,NA,NA,-22.6549,NA,NA,NA,NA
"sp|Q03862|ARX1_YEAST","Actin-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ABP1 PE=1 SV=4",NA,-25.2793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.8269,NA,NA,NA,-24.6627,-19.9554,NA
"sp|Q04002|SCC2_YEAST","Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HSP26 PE=1 SV=3",NA,-24.2288,NA,NA,NA,NA,-26.3429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q04003|SAS4_YEAST","Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)",NA,-26.2822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.1917,NA,-25.8885,-27.226,NA
"sp|Q04033|YD415_YEAST","Threonine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=THR4 PE=1 SV=1",NA,-23.9384,NA,NA,NA,NA,NA,-22.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.0997,NA,NA,-24.4357,NA,NA,NA,NA,NA
"sp|Q04304|YMY0_YEAST","V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=VMA2 PE=1 SV=2",NA,-21.897,NA,-20.7157,-21.1946,-20.7375,NA,NA,-22.5241,-21.2143,-21.0623,-21.2354,-21.1053,-20.4421,-20.848,NA,NA,NA,-20.999,-20.7303,-21.2566,-20.2776,-20.5278,-21.0606,-20.7916,-21.7725,-22.3805
"sp|Q04344|HNT1_YEAST","Endoplasmic reticulum chaperone BiP OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=KAR2 PE=1 SV=1",NA,-21.1276,NA,-19.6257,NA,-19.8289,NA,NA,-20.0653,NA,-21.8164,NA,-20.2255,-19.3437,-21.3543,-22.0672,-21.5047,NA,NA,NA,NA,-21.3188,NA,-20.571,-21.1526,NA,-20.6694
"sp|Q04749|AVO2_YEAST","Mitochondrial outer membrane protein OM45 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=OM45 PE=1 SV=2",NA,-24.2128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.8935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q05359|ERP1_YEAST","Protein APA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=APA1 PE=1 SV=4",NA,-22.0779,-21.9328,-22.5795,NA,-21.0601,NA,-22.4463,NA,-20.922,NA,-21.9185,NA,-22.7432,NA,NA,NA,NA,-22.3461,-22.2454,NA,NA,NA,NA,-22.1851,-21.9641,-22.2497
"sp|Q05471|SWR1_YEAST","ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PFK1 PE=1 SV=1",NA,-26.3194,NA,-24.95,-24.8366,NA,NA,NA,NA,NA,NA,NA,NA,-25.918,-25.1297,-25.5405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q05905|HRI1_YEAST","ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PFK2 PE=1 SV=4",NA,-20.7311,NA,NA,NA,-19.6141,-19.4083,-21.2386,NA,NA,-20.8215,NA,NA,-19.5007,-19.5947,-20.7082,NA,NA,NA,NA,-20.9681,NA,-20.735,-21.1,-18.4783,-18.3693,-19.9017
"sp|Q06146|YL257_YEAST","V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=VMA1 PE=1 SV=3",NA,-21.8111,-21.9509,-21.8095,-20.792,-19.6638,NA,-21.6667,NA,-22.2019,-21.7607,NA,-22.9622,-22.0194,-24.2279,NA,NA,-21.9899,-20.8533,NA,-20.3834,-24.7089,-21.779,-21.2094,-20.2568,-21.2108,NA
"sp|Q06179|FMP27_YEAST","Homoserine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=THR1 PE=1 SV=4",NA,-27.28,NA,NA,NA,NA,NA,-27.467,NA,NA,NA,-28.7266,NA,-23.8187,NA,-26.9837,-27.5933,NA,NA,-26.0423,-22.4553,NA,-26.9916,NA,-27.7661,NA,-27.2717
"sp|Q06494|PLR1_YEAST","Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=MDH1 PE=1 SV=2",NA,-22.9301,-24.2145,NA,NA,-23.6463,-24.0834,NA,NA,NA,NA,-23.5786,-22.8911,-22.5998,-22.3482,-25.5742,NA,NA,NA,NA,NA,NA,NA,-24.1914,NA,NA,NA
"sp|Q06593|OPT2_YEAST","Tropomyosin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TPM1 PE=1 SV=1",NA,-26.3837,NA,NA,NA,NA,NA,NA,NA,-25.9518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q06625|GDE_YEAST","4-aminobutyrate aminotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=UGA1 PE=1 SV=2",NA,-25.2649,NA,NA,NA,NA,NA,NA,-26.7318,-24.9811,-26.0697,-25.7967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q07471|THI3_YEAST","Glucokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GLK1 PE=1 SV=1",NA,-25.6626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.714,NA,NA,NA,NA,NA,NA,NA,-25.9509,NA,NA,NA,NA,NA,NA
"sp|Q07505|DLHH_YEAST","Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PDI1 PE=1 SV=2",NA,-21.6858,-23.5967,-20.3069,-20.41,-20.8534,NA,-21.3663,NA,-20.3597,-21.3122,-22.2393,-21.3198,-20.1001,-23.0455,-21.7643,-23.2098,-20.3875,-21.2402,-21.3345,-21.5835,-21.5831,-23.1401,-20.5903,-20.0791,-19.3409,-19.0015
"sp|Q07653|HBT1_YEAST","Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=FAS2 PE=1 SV=2",NA,-30.2424,-30.0295,NA,NA,NA,NA,-30.1883,-30.9463,NA,NA,NA,NA,NA,NA,NA,-28.3869,-26.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q07657|SHS1_YEAST","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=KGD2 PE=1 SV=2",NA,-24.0502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.996,NA,NA,NA,NA,NA,-24.0656,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q07845|GRC3_YEAST","S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SAM2 PE=1 SV=3",NA,-25.8769,NA,NA,NA,NA,NA,NA,-26.0511,NA,-25.8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q08206|YO036_YEAST","Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ACO1 PE=1 SV=2",NA,-24.6327,NA,NA,NA,NA,NA,-23.6426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.7494,NA,NA,NA,NA,NA,NA,NA
"sp|Q08904|RDR1_YEAST","Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HSP60 PE=1 SV=1",NA,-24.4635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.5726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q08907|FIT3_YEAST","Dihydroorotase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=URA4 PE=1 SV=2",NA,-24.249,-22.043,-25.6182,NA,NA,NA,NA,NA,NA,NA,-25.2146,NA,NA,NA,-25.7609,-22.4929,-22.4675,NA,NA,NA,-25.2673,-25.3776,NA,-24.2237,NA,NA
"sp|Q12123|DCS2_YEAST","FK506-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=FPR1 PE=1 SV=2",NA,-22.322,NA,-21.8402,-21.7884,NA,NA,NA,NA,NA,-22.7451,NA,NA,NA,NA,-22.839,-22.4669,NA,NA,NA,NA,NA,NA,NA,-20.351,NA,-21.2104
"sp|Q12179|YP245_YEAST","Eukaryotic translation initiation factor 2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SUI2 PE=1 SV=1",NA,-24.4186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.3575,NA,NA,NA,NA,NA,-23.7581,-23.6741,NA
"sp|Q12219|YORA4_YEAST","Small COPII coat GTPase SAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SAR1 PE=1 SV=1",NA,-23.4852,NA,-23.0675,-24.5024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.7626,NA,NA,NA,NA
"sp|Q12250|RPN5_YEAST","2-oxoglutarate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=KGD1 PE=1 SV=2",NA,-21.8455,NA,NA,NA,NA,NA,NA,-22.1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.2953,-22.734,-22.8268,NA
"sp|Q12320|GLO4_YEAST","Proteasome subunit alpha type-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SCL1 PE=1 SV=1",NA,-22.0226,NA,NA,NA,NA,NA,-21.8498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.0509,NA,NA,NA,NA,NA,NA
"sp|Q12368|SNU23_YEAST","Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=VPS1 PE=1 SV=2",NA,-23.4617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q12412|PNS1_YEAST","Malate dehydrogenase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=MDH2 PE=1 SV=2",NA,-20.7385,-21.7013,NA,NA,NA,NA,NA,NA,NA,-22.4389,NA,NA,NA,NA,-22.5389,NA,NA,-21.4322,NA,NA,-22.3691,-21.2745,NA,NA,NA,NA
"sp|Q12434|GDIR_YEAST","Clathrin heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=CHC1 PE=1 SV=1",NA,-23.8465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q12513|TMA17_YEAST","1,3-beta-glucanosyltransferase GAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GAS1 PE=1 SV=2",NA,-18.2724,-19.7332,-19.8014,-20.569,-21.507,-20.2698,-21.8125,-19.8386,-19.7969,-20.5888,-20.3566,-20.0692,-18.7487,-20.7534,-20.5753,-22.5132,-20.5518,-18.8276,-18.402,-20.5425,-19.0038,-21.7296,-19.6007,-17.7463,-19.5518,-20.554
"sp|Q12517|DCP1_YEAST","V-type proton ATPase subunit E OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=VMA4 PE=1 SV=4",NA,-24.4952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.7547,NA,NA,NA,NA,NA
"sp|Q2V2P9|YD19A_YEAST","Thioredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TRX1 PE=1 SV=3",NA,-21.3138,-20.6037,NA,NA,NA,-20.8312,NA,-21.0429,NA,NA,NA,NA,-20.9286,-20.1134,-21.1083,NA,NA,NA,NA,-21.0604,NA,NA,NA,NA,NA,NA
"sp|Q3E754|RS21B_YEAST","Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=UBA1 PE=1 SV=2",NA,-19.905,NA,NA,NA,NA,-20.4327,-20.6922,-18.3042,-18.6265,NA,NA,-20.6847,NA,-19.7861,-19.8349,NA,-18.6951,-19.9485,-19.2186,-18.8698,-18.6771,-21.0985,NA,NA,NA,NA
"sp|Q3E7Y7|YO293_YEAST","Argininosuccinate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ARG1 PE=1 SV=3",NA,-21.3968,-21.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.3789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q99271|NAH1_YEAST","Thioredoxin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TRX2 PE=1 SV=3",NA,-22.8413,NA,NA,-24.4307,NA,NA,NA,NA,NA,-24.2473,NA,NA,-24.3984,NA,-25.1372,NA,NA,NA,NA,NA,-24.9975,NA,NA,NA,NA,NA
